timestamp_s,lf_heel_l_N,lf_heel_r_N,lf_mid_l_N,lf_mid_r_N,lf_toe_l_N,lf_toe_c_N,lf_toe_r_N,rf_heel_l_N,rf_heel_r_N,rf_mid_l_N,rf_mid_r_N,rf_toe_l_N,rf_toe_c_N,rf_toe_r_N
4.920,0.000,0.000,0.237,0.000,0.000,0.000,0.000,3.212,0.000,0.000,1.731,71.031,111.955,70.477
4.930,0.664,0.877,0.000,0.000,0.000,0.000,0.000,2.470,0.000,0.399,2.391,71.541,113.597,71.621
4.940,3.246,4.036,0.138,0.000,0.000,0.000,0.000,1.175,0.000,0.819,1.692,71.214,109.916,71.079
4.950,3.075,5.084,1.059,0.000,0.401,1.327,0.000,0.748,0.000,0.000,0.000,69.029,103.235,68.374
4.960,0.000,0.591,1.990,0.592,1.687,3.779,1.620,1.154,2.143,0.000,0.000,64.008,94.730,62.689
4.970,0.000,0.000,2.125,2.058,1.330,3.632,2.858,1.333,2.013,0.000,0.000,56.460,84.057,54.021
4.980,0.000,0.000,1.479,2.674,0.073,1.567,2.314,0.996,0.864,0.000,0.000,47.827,71.300,44.013
4.990,20.884,21.698,0.680,2.532,0.000,0.110,0.288,0.956,0.133,0.000,0.000,39.617,58.072,35.113
5.000,55.975,55.205,0.000,1.925,0.000,0.884,0.000,1.532,0.000,0.000,1.085,32.448,45.954,28.644
5.010,84.812,83.482,0.000,1.127,0.000,2.929,0.000,1.757,0.128,1.712,1.867,25.679,34.668,23.844
5.020,98.079,97.160,0.000,0.670,0.000,3.864,0.000,0.839,0.974,2.452,1.449,17.991,22.982,18.663
5.030,101.031,100.592,0.000,1.049,0.000,2.592,1.320,0.000,2.650,2.054,0.621,9.141,11.416,11.648
5.040,103.832,103.526,0.770,2.007,0.114,0.330,1.754,0.000,3.794,1.138,0.000,1.365,2.884,3.639
5.050,110.529,110.577,1.923,2.719,1.225,0.000,0.478,0.517,2.743,0.000,0.000,0.000,0.000,0.000
5.060,118.701,119.696,1.812,2.702,0.553,0.000,0.000,1.977,0.012,0.000,0.000,0.000,0.483,0.000
5.070,125.406,127.306,1.196,1.999,0.000,0.000,0.000,2.232,0.000,0.000,1.035,2.629,1.622,0.000
5.080,130.348,132.322,1.774,0.766,0.000,1.538,0.000,0.901,0.000,0.000,2.743,3.665,1.297,2.433
5.090,134.429,135.804,3.801,0.000,0.000,3.065,0.138,0.000,0.572,0.000,4.139,2.084,0.895,3.881
5.100,137.627,138.602,5.421,0.000,0.000,3.456,1.117,0.000,1.123,0.697,4.251,0.719,1.922,2.137
5.110,139.133,140.344,5.037,0.847,0.121,2.038,1.412,0.000,0.000,2.127,2.715,1.717,3.241,0.000
5.120,138.826,140.364,3.576,3.103,0.408,0.000,0.944,0.000,0.000,3.000,0.484,3.837,2.566,0.000
5.130,137.630,138.768,3.508,4.881,0.149,0.000,0.438,0.000,0.000,3.293,0.000,4.307,0.000,0.000
5.140,136.198,136.287,5.937,6.500,0.014,0.144,0.590,0.742,0.000,2.657,0.000,2.540,0.000,0.583
5.150,133.998,133.453,9.384,9.071,0.825,1.576,1.150,1.862,1.411,1.086,1.284,0.708,0.000,0.000
5.160,130.122,130.076,11.599,12.293,2.487,2.055,1.318,2.421,2.134,0.000,1.716,0.621,0.000,0.000
5.170,124.456,125.300,12.181,14.679,3.680,1.869,0.872,1.420,1.086,0.000,0.865,1.305,0.000,0.000
5.180,117.594,118.316,12.866,16.079,3.191,1.700,0.337,0.000,0.000,0.000,0.000,0.610,0.000,0.000
5.190,110.192,109.448,15.218,18.313,1.269,1.077,0.110,0.000,0.000,1.155,0.000,0.000,0.000,0.000
5.200,102.821,100.383,18.964,22.649,0.000,0.000,0.000,0.000,0.000,1.476,0.000,0.000,0.000,1.836
5.210,95.739,92.741,22.929,27.761,0.000,0.000,0.000,0.321,0.000,0.803,0.000,0.000,0.000,2.354
5.220,88.364,86.406,26.508,30.947,0.000,0.000,0.000,1.057,0.000,0.000,0.147,1.123,0.918,2.156
5.230,79.699,79.893,29.513,30.952,0.000,0.000,0.000,0.135,0.000,0.000,0.858,2.358,1.293,2.170
5.240,69.859,72.388,31.510,29.148,0.000,0.000,0.000,0.000,0.000,0.331,0.394,2.093,0.768,1.853
5.250,60.591,64.490,32.140,28.010,0.000,1.297,0.000,0.000,0.000,1.086,0.000,1.528,0.330,0.201
5.260,53.571,56.834,31.650,28.726,1.224,0.478,0.000,1.005,0.045,1.635,0.000,1.340,0.567,0.000
5.270,48.523,49.454,30.633,30.481,2.582,0.000,0.000,2.629,0.851,1.973,0.000,0.957,1.458,0.000
5.280,43.663,42.861,29.600,31.738,2.970,0.000,0.000,2.665,1.688,2.119,0.000,0.000,2.521,0.000
5.290,37.766,37.894,28.948,31.528,2.575,2.733,0.000,1.171,2.448,1.747,0.000,0.000,2.793,0.000
5.300,31.214,33.957,28.785,29.582,2.724,5.736,2.915,0.000,2.475,0.676,0.000,0.000,1.445,0.000
5.310,25.188,29.394,28.478,26.239,4.377,6.457,5.647,0.000,1.383,0.000,1.746,0.000,0.000,0.000
5.320,20.413,24.211,26.879,22.533,6.948,5.985,7.318,0.000,0.000,0.000,2.718,0.000,0.000,0.223
5.330,16.781,20.327,23.461,19.546,9.349,7.593,8.748,0.000,0.000,0.000,1.329,0.111,0.000,0.460
5.340,13.826,18.412,19.048,17.386,11.869,12.910,11.500,0.000,0.000,0.000,0.000,1.327,0.000,0.000
5.350,11.354,16.481,15.102,15.292,15.900,20.372,16.326,0.000,0.000,0.000,0.000,1.766,0.000,0.000
5.360,9.491,12.705,12.389,12.708,21.860,27.910,22.657,0.798,0.000,0.000,0.000,1.389,0.289,0.000
5.370,8.176,8.081,10.474,9.849,28.623,35.775,29.490,1.962,0.000,0.000,0.000,0.416,1.537,0.000
5.380,6.940,5.184,8.290,7.358,35.312,45.611,36.558,1.615,0.000,1.491,1.161,0.000,1.534,0.000
5.390,5.536,5.015,5.137,5.673,42.524,57.973,44.354,0.203,0.000,4.690,1.799,0.000,0.446,0.761
5.400,4.370,5.996,1.512,4.683,51.256,72.159,53.014,0.000,0.000,5.531,0.594,0.000,0.000,0.375
5.410,3.717,5.905,0.000,3.945,61.323,87.543,61.905,0.000,0.000,3.222,0.000,0.000,0.000,0.000
5.420,2.895,4.257,0.000,3.259,71.338,103.694,70.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.430,1.185,2.529,0.184,2.862,79.966,119.658,79.859,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.440,0.000,2.201,0.749,2.965,86.870,134.039,89.179,0.762,0.018,0.000,0.505,0.739,0.000,0.000
5.450,0.000,3.066,0.000,3.166,92.483,145.558,96.888,2.120,0.040,0.000,2.022,2.116,0.435,0.353
5.460,0.000,3.596,0.000,2.537,97.067,153.204,101.113,2.598,0.000,0.000,1.757,2.524,2.017,1.080
5.470,0.956,2.582,0.000,0.635,100.068,156.240,101.702,2.320,0.000,0.000,0.220,2.569,2.875,1.102
5.480,0.689,0.252,0.000,0.000,100.358,154.386,99.811,1.567,0.941,0.000,0.000,3.238,2.617,0.125
5.490,0.000,0.000,1.526,0.000,97.242,147.875,96.251,0.000,1.622,0.000,0.000,4.226,1.999,0.000
5.500,0.000,0.000,2.484,0.000,91.324,137.385,91.127,0.000,0.000,0.000,1.195,4.211,1.709,0.000
5.510,0.792,0.000,2.224,0.226,83.996,124.060,84.739,0.000,0.000,0.000,2.215,2.513,1.618,0.000
5.520,1.876,0.915,0.836,0.935,75.913,109.357,77.599,0.000,0.791,0.000,2.298,0.006,1.313,0.721
5.530,1.820,1.433,0.000,0.804,66.697,94.513,69.456,14.601,16.782,0.000,1.409,0.000,0.722,1.619
5.540,0.632,0.553,0.000,0.618,56.531,80.189,59.718,40.128,40.442,0.000,0.000,0.000,0.071,1.196
5.550,0.000,0.000,0.000,0.632,46.906,66.579,49.412,62.450,61.249,0.000,0.000,0.000,0.000,0.000
5.560,0.000,0.000,0.000,0.518,38.834,53.381,40.974,73.753,72.966,0.642,0.000,0.689,0.000,0.000
5.570,0.000,0.283,1.969,0.007,31.224,39.760,34.778,76.791,78.015,2.488,2.170,1.018,0.000,0.000
5.580,0.000,0.000,3.087,0.000,22.258,25.314,27.541,79.569,81.950,3.327,3.894,0.919,0.000,0.000
5.590,0.623,0.000,2.716,0.000,12.164,11.452,16.427,85.902,87.232,2.980,3.429,0.539,0.000,0.000
5.600,2.037,0.000,1.824,0.000,3.548,1.084,3.866,93.124,92.954,2.131,1.180,0.000,0.000,0.000
5.610,3.054,0.000,1.397,0.000,0.000,0.000,0.000,97.515,97.643,1.136,0.000,0.000,0.000,0.406
5.620,3.133,0.000,1.572,1.667,0.000,0.000,0.000,99.040,100.704,0.132,0.706,0.000,0.000,1.356
5.630,2.276,0.215,1.919,2.584,0.000,0.000,0.000,99.921,102.231,0.000,3.296,0.000,1.485,1.213
5.640,0.668,1.687,2.113,1.517,0.000,0.936,1.443,100.653,102.385,1.523,4.642,0.000,1.562,0.000
5.650,0.000,1.989,2.111,0.000,0.000,1.939,0.834,99.562,100.887,4.260,3.846,0.401,0.158,0.000
5.660,0.000,1.641,1.982,0.000,0.000,1.284,0.000,95.718,97.337,6.071,3.277,0.000,0.000,0.000
5.670,0.000,1.375,1.773,1.251,0.000,0.000,0.000,90.443,92.383,6.004,5.768,0.000,0.000,0.000
5.680,0.000,1.385,1.417,2.514,0.000,0.000,0.000,85.671,87.789,5.823,10.948,0.000,0.277,0.000
5.690,0.000,1.590,0.828,1.817,0.000,0.000,0.597,81.806,84.458,8.007,15.465,0.000,0.819,1.742
5.700,1.246,1.857,0.243,0.000,0.000,0.000,1.237,77.686,81.030,12.684,16.908,0.000,0.159,2.244
5.710,2.859,1.795,0.168,0.000,0.000,0.309,0.998,72.292,75.463,17.538,16.302,0.000,0.000,0.756
5.720,2.372,1.037,0.728,0.000,0.000,2.351,0.754,65.817,67.563,20.473,16.259,0.000,0.000,0.000
5.730,0.473,0.000,1.411,0.000,0.000,2.433,0.908,58.916,59.029,21.378,17.739,0.000,0.000,0.000
5.740,0.000,0.000,1.553,0.000,0.000,1.564,0.847,51.753,51.432,21.273,19.650,0.000,0.000,1.730
5.750,0.000,0.000,0.839,0.000,0.450,0.952,0.000,44.449,45.059,20.887,20.983,0.000,0.000,4.477
5.760,0.000,0.000,0.000,0.000,1.044,0.667,0.000,37.695,39.488,20.704,21.926,0.175,0.100,5.178
5.770,0.000,0.000,0.000,0.000,0.000,0.222,0.000,31.998,34.338,21.418,22.674,0.277,0.000,4.338
5.780,0.350,0.000,0.000,0.000,0.000,0.000,0.206,26.945,29.400,23.066,22.523,0.183,0.000,3.737
5.790,0.254,0.000,0.000,0.118,0.000,0.000,1.472,22.072,24.714,24.036,20.876,0.512,0.000,3.952
5.800,0.242,3.305,0.000,0.000,0.000,0.114,1.536,17.935,20.663,22.298,18.283,1.636,2.969,4.296
5.810,1.108,4.979,0.000,0.000,0.119,0.000,0.517,15.432,17.480,17.913,15.863,3.589,7.185,4.570
5.820,2.636,3.575,0.000,0.000,1.060,0.000,0.000,14.340,14.667,13.349,14.268,6.266,10.748,5.877
5.830,3.449,0.325,0.000,0.000,1.080,0.000,0.002,13.291,11.462,10.875,13.444,9.653,14.051,9.517
5.840,2.479,0.000,1.058,0.126,0.984,0.000,1.079,11.224,7.926,10.340,12.742,14.122,19.199,15.479
5.850,0.378,0.000,2.375,0.308,1.260,0.000,1.558,8.329,4.936,9.837,11.187,20.427,27.554,22.486
5.860,0.000,0.000,2.074,0.000,1.332,0.978,0.746,5.534,3.069,7.815,8.294,28.898,38.408,29.537
5.870,0.000,0.000,0.408,0.000,0.444,0.073,0.000,3.449,2.082,4.291,4.753,38.445,50.279,36.885
5.880,0.000,0.426,0.000,0.000,0.000,0.000,0.000,1.875,1.500,0.713,1.829,47.111,62.734,45.217
5.890,0.000,1.856,0.000,0.000,0.000,0.000,0.160,0.200,1.044,0.000,0.185,54.035,76.178,54.203
5.900,0.000,2.748,0.000,1.021,0.000,0.000,0.496,0.000,0.428,0.000,0.000,60.209,90.236,62.290
5.910,0.000,2.533,0.000,2.331,0.900,0.000,0.000,0.000,0.000,1.512,0.391,66.591,103.071,67.933
5.920,0.000,1.587,0.000,2.925,3.417,0.162,0.000,0.000,0.000,1.975,1.637,72.093,112.161,70.721
5.930,1.694,1.480,0.000,2.210,4.464,2.134,0.000,0.782,0.000,0.437,2.641,74.440,115.502,71.240
5.940,3.217,2.757,0.000,0.405,3.217,3.150,0.506,2.918,0.000,0.000,2.682,72.755,112.574,70.190
5.950,1.719,2.967,0.000,0.000,0.933,2.530,0.313,3.216,1.612,0.000,1.900,68.224,104.602,67.731
5.960,0.000,0.000,0.000,0.000,0.000,0.545,0.000,2.018,3.873,1.037,0.921,62.308,93.667,63.397
5.970,0.000,0.000,0.000,0.000,0.718,0.000,0.000,0.675,3.872,3.136,0.070,55.526,81.451,56.755
5.980,0.000,0.000,0.000,0.000,2.368,0.000,0.000,0.000,1.515,3.615,0.000,48.202,68.940,48.437
5.990,22.234,20.852,0.000,0.000,2.999,0.000,0.000,0.000,0.000,2.406,0.000,41.159,56.808,40.122
6.000,55.169,53.367,0.000,0.000,1.962,0.000,0.000,0.000,0.000,0.645,0.000,34.761,45.299,32.819
6.010,83.153,82.844,0.975,0.000,0.135,1.758,0.000,0.000,0.456,0.000,0.000,27.886,33.942,25.548
6.020,98.483,99.001,1.658,0.691,0.000,3.137,0.000,0.000,1.937,0.000,0.000,19.213,22.393,16.764
6.030,104.858,103.895,1.002,2.092,0.000,2.444,0.000,0.000,1.852,0.594,0.000,9.800,11.817,7.246
6.040,109.317,106.288,0.000,2.088,1.254,0.691,0.000,0.752,0.935,0.378,0.000,2.951,4.566,0.443
6.050,114.387,111.689,0.000,0.442,2.056,0.000,0.000,1.733,0.655,0.000,0.000,0.526,1.754,0.000
6.060,119.185,119.341,0.000,0.000,1.109,0.621,1.645,2.094,1.321,0.050,0.000,0.717,1.700,1.641
6.070,123.834,126.134,0.000,0.000,0.000,0.982,2.438,1.919,1.822,1.422,0.000,0.645,1.619,3.980
6.080,129.495,130.737,0.717,0.000,0.000,0.000,1.509,1.531,0.815,2.431,0.000,0.000,0.525,3.214
6.090,135.545,133.964,2.202,1.827,0.000,0.000,0.000,1.229,0.000,1.815,0.000,0.000,0.000,0.499
6.100,139.643,136.807,3.241,3.532,0.894,0.000,0.000,1.177,0.000,0.000,0.000,0.000,0.221,0.000
6.110,140.738,139.304,4.129,3.151,1.558,0.192,0.000,1.213,0.000,0.000,0.000,0.640,1.819,0.605
6.120,140.200,140.867,5.227,1.847,1.095,1.758,0.000,0.898,0.000,0.000,0.000,0.701,2.838,3.303
6.130,139.564,140.729,6.736,1.986,0.727,1.422,1.199,0.146,1.118,0.000,0.000,0.165,2.262,4.022
6.140,138.567,138.302,8.814,4.635,1.344,0.000,1.699,0.000,1.070,0.056,0.000,0.000,0.706,1.219
6.150,136.057,133.927,11.500,8.508,2.527,0.000,1.228,0.000,0.000,1.565,0.000,0.000,0.000,0.000
6.160,131.668,129.021,14.051,11.641,3.153,0.807,0.260,0.382,0.000,1.508,0.701,0.708,0.000,0.000
6.170,125.753,124.559,15.122,13.505,2.610,3.026,0.000,0.973,0.000,0.856,3.503,1.588,0.000,0.000
6.180,118.600,119.619,14.587,15.038,1.325,4.014,0.000,1.864,0.000,0.781,4.315,1.924,0.000,0.000
6.190,110.800,112.473,14.522,17.239,0.203,2.862,0.336,3.582,0.478,1.305,2.891,1.492,0.000,0.000
6.200,103.643,103.102,17.145,20.288,0.000,0.474,0.552,5.226,0.433,1.655,0.919,0.241,0.000,0.000
6.210,97.921,93.667,21.941,23.561,0.000,0.000,0.000,4.966,0.793,1.337,0.181,0.000,0.000,0.000
6.220,92.513,86.138,25.963,26.088,0.000,0.000,0.000,2.505,1.731,0.622,0.807,0.000,0.367,0.000
6.230,85.220,80.107,27.273,27.413,0.000,0.337,0.000,0.000,2.512,0.068,1.591,0.000,1.311,0.000
6.240,75.293,73.532,27.175,28.237,0.000,2.519,0.000,0.000,2.622,0.000,1.874,0.000,1.607,2.361
6.250,64.534,65.326,28.264,29.678,0.000,3.124,0.000,0.000,2.322,0.000,2.332,0.000,1.078,3.399
6.260,55.480,56.423,30.888,31.850,0.000,1.573,0.000,0.000,1.927,0.000,3.431,0.000,0.000,1.758
6.270,48.896,48.381,32.756,33.780,0.173,0.000,0.000,0.000,1.178,0.000,4.034,0.000,0.000,0.000
6.280,43.595,41.808,32.000,34.581,0.715,0.000,0.089,0.000,0.000,0.000,2.734,0.000,0.000,0.000
6.290,38.389,36.314,29.307,33.907,2.240,1.412,0.718,0.000,0.000,0.928,0.192,0.000,0.000,0.000
6.300,33.174,31.382,26.526,31.557,4.118,2.559,1.779,0.000,0.000,2.183,0.000,0.102,0.000,1.890
6.310,28.037,26.959,24.302,27.612,5.164,2.083,3.537,0.000,1.087,2.439,0.162,1.267,0.164,2.678
6.320,22.652,23.249,22.012,22.862,5.724,2.198,5.611,0.183,2.093,2.112,2.896,1.838,0.000,1.787
6.330,17.276,20.071,19.338,18.517,7.769,5.877,7.867,0.774,1.137,1.603,4.703,1.882,0.000,0.193
6.340,13.188,16.886,16.701,15.539,12.642,13.314,10.927,0.000,0.000,0.583,4.479,1.159,0.000,0.000
6.350,11.060,13.558,14.276,14.135,19.523,21.839,15.532,0.000,0.000,0.000,2.950,0.000,0.000,0.387
6.360,9.629,10.617,11.669,13.396,26.446,29.108,21.866,0.000,0.000,0.000,1.587,0.000,0.000,1.839
6.370,7.277,8.514,8.880,11.730,32.287,35.717,29.721,0.000,0.000,0.000,1.312,0.323,0.283,2.096
6.380,4.443,6.984,6.734,8.473,37.516,44.456,38.748,1.350,0.000,0.000,1.704,2.366,0.000,0.638
6.390,3.028,5.438,5.813,4.922,43.498,57.264,48.221,2.197,0.000,1.699,1.393,2.990,0.000,0.000
6.400,3.476,3.710,5.399,2.976,51.356,73.421,57.172,0.878,0.000,2.155,0.000,1.271,0.000,0.000
6.410,4.001,2.090,4.206,2.903,61.234,90.745,65.236,0.000,0.000,0.806,0.000,0.000,0.000,0.000
6.420,3.016,0.792,2.197,3.216,72.293,107.634,72.973,0.115,0.000,0.000,0.000,0.000,1.242,0.000
6.430,0.874,0.000,0.832,2.665,83.145,123.298,80.947,2.161,0.000,0.000,1.903,0.717,2.824,1.241
6.440,0.000,0.000,1.076,1.515,92.158,136.706,88.675,3.825,0.000,0.000,4.844,3.237,3.171,2.282
6.450,0.000,0.000,2.015,0.721,97.828,146.473,94.842,4.148,0.000,0.000,6.013,4.390,2.413,1.585
6.460,0.000,0.402,2.244,0.643,99.771,151.891,98.595,3.712,0.000,0.000,5.116,3.399,1.334,0.000
6.470,0.000,1.267,1.728,0.982,99.332,153.471,100.246,3.406,0.000,0.000,3.022,0.913,0.895,0.000
6.480,0.726,1.500,1.284,1.416,98.220,152.101,100.368,3.025,0.000,0.000,0.595,0.000,1.604,0.000
6.490,3.387,1.269,1.002,1.780,96.451,147.919,98.533,1.192,0.000,0.000,0.000,0.000,2.767,1.046
6.500,4.019,0.995,0.328,1.949,92.574,140.336,93.709,0.000,0.000,0.000,0.000,0.036,2.835,2.724
6.510,2.463,0.761,0.000,2.024,85.873,129.047,85.871,0.000,0.000,0.000,0.000,1.364,1.174,2.961
6.520,0.719,0.538,0.000,2.357,77.296,114.571,76.286,0.000,0.000,0.000,0.000,0.717,0.000,2.436
6.530,0.604,0.393,0.000,2.954,68.282,97.912,66.137,13.600,14.271,0.000,0.000,0.000,0.000,1.954
6.540,1.637,0.091,0.612,3.084,59.658,80.390,56.004,36.504,36.906,0.000,0.000,0.000,0.000,1.494
6.550,2.057,0.000,1.271,2.076,51.650,63.840,46.781,57.916,57.901,0.000,0.000,0.000,1.265,1.035
6.560,1.260,0.000,1.232,0.438,44.056,49.955,39.456,71.270,71.217,0.000,0.000,1.868,1.650,1.220
6.570,0.146,0.000,0.980,0.000,36.036,38.673,33.271,77.187,78.350,0.000,0.413,3.444,0.734,2.510
6.580,0.000,0.288,1.027,0.000,26.434,27.964,25.600,80.469,83.667,0.000,1.775,3.032,0.000,4.206
6.590,0.000,1.500,1.323,0.808,15.305,16.393,15.138,84.882,88.800,0.000,0.854,1.922,0.000,4.971
6.600,0.000,1.134,1.271,0.849,5.005,5.632,4.444,90.994,92.686,0.000,0.000,1.560,0.000,4.314
6.610,0.000,0.135,0.284,0.051,0.000,0.000,0.000,96.887,94.727,0.000,0.000,1.828,0.000,3.246
6.620,0.000,0.005,0.000,0.000,0.000,0.000,0.000,100.165,95.982,0.168,0.000,1.702,0.962,3.031
6.630,0.000,0.669,0.000,0.000,0.000,0.945,0.000,100.174,97.644,2.118,0.218,0.798,1.812,3.391
6.640,0.000,1.007,0.000,0.770,0.000,2.755,0.000,98.586,99.456,3.674,2.538,0.000,0.670,2.794
6.650,0.000,0.660,0.000,1.065,0.000,1.938,0.000,97.336,99.957,3.755,3.560,0.000,0.000,0.746
6.660,0.000,0.277,0.000,0.098,0.000,0.000,0.000,96.394,97.998,2.619,4.203,0.000,0.000,0.000
6.670,0.000,0.435,0.000,0.000,0.000,0.000,0.706,94.271,93.784,2.334,5.393,0.000,0.000,0.000
6.680,0.000,1.078,1.081,0.000,0.000,0.697,1.673,90.149,88.497,4.848,7.095,0.000,0.000,0.000
6.690,0.000,1.709,1.365,0.000,0.000,2.261,1.734,84.530,83.081,9.792,8.966,0.000,0.000,0.790
6.700,0.000,1.781,0.443,0.481,0.000,1.796,1.835,78.193,77.489,14.802,11.214,0.000,0.000,0.785
6.710,0.000,1.187,0.000,0.000,0.000,0.000,2.026,71.530,71.173,17.780,14.351,0.000,0.000,0.300
6.720,0.000,0.411,0.000,0.000,0.000,0.000,1.336,64.814,64.206,18.525,18.314,0.000,0.454,0.178
6.730,0.000,0.000,1.249,0.000,0.000,0.000,0.000,58.231,57.466,18.561,22.215,0.000,1.222,0.266
6.740,0.000,0.000,2.369,0.000,0.000,0.000,0.000,51.667,51.491,19.693,24.907,0.000,1.392,0.000
6.750,0.000,0.110,1.960,1.416,0.000,0.000,0.000,45.114,45.729,22.454,25.672,2.172,1.533,0.000
6.760,0.000,0.691,0.121,2.301,1.287,0.000,0.000,39.129,39.477,25.616,24.594,4.100,2.470,0.000
6.770,2.359,1.221,0.000,2.084,2.329,0.000,0.000,34.100,33.017,27.167,22.436,3.878,3.827,0.704
6.780,4.163,0.875,0.000,1.082,2.276,0.000,0.000,29.313,27.206,25.851,20.091,2.121,4.265,2.877
6.790,3.465,0.000,0.000,0.000,1.746,0.000,0.000,23.772,22.340,22.123,18.110,0.186,3.306,3.891
6.800,1.012,0.000,0.000,0.000,1.209,0.000,0.353,17.794,18.036,17.838,16.607,0.000,2.342,4.049
6.810,0.000,0.000,0.712,0.000,0.525,1.265,0.598,12.761,14.127,14.729,15.363,2.413,3.447,5.640
6.820,0.000,0.442,1.091,0.000,0.000,3.744,0.519,9.493,11.208,12.898,14.076,7.798,7.392,10.110
6.830,0.000,1.570,0.936,0.000,0.000,4.804,0.587,7.783,9.935,11.045,12.617,14.149,13.270,16.126
6.840,0.000,1.861,0.500,0.000,0.000,3.561,0.915,7.070,9.720,8.349,10.889,19.498,20.100,21.246
6.850,0.000,2.087,0.000,0.000,0.000,1.129,1.057,6.539,8.676,5.593,8.549,23.710,28.236,24.957
6.860,0.000,2.629,0.000,0.000,0.000,0.000,0.619,5.036,5.568,3.969,5.423,28.700,38.744,29.257
6.870,0.066,2.811,0.000,0.000,0.000,0.000,0.000,2.174,1.564,3.320,2.298,36.346,51.749,36.283
6.880,0.796,2.192,0.000,0.000,0.432,0.338,0.000,0.000,0.000,2.446,0.548,46.149,65.913,45.820
6.890,1.350,1.455,0.000,0.006,0.821,0.267,0.000,0.000,0.000,0.950,0.506,55.426,79.355,55.313
6.900,1.018,1.454,0.000,1.815,0.276,0.000,0.000,2.034,0.000,0.000,0.838,62.048,90.677,62.212
6.910,0.000,2.076,0.000,2.913,0.000,0.000,0.000,4.282,0.000,0.237,0.206,66.389,99.402,66.045
6.920,0.000,2.713,0.000,2.645,0.000,0.000,0.000,3.446,0.000,1.771,0.000,69.981,105.757,68.090
6.930,0.459,3.237,0.015,0.935,0.000,0.000,0.000,0.326,0.000,2.932,0.000,72.787,109.870,69.414
6.940,2.524,3.428,0.308,0.000,0.868,0.040,0.000,0.000,0.000,2.455,0.049,72.938,111.017,69.760
6.950,2.222,1.775,0.779,0.000,2.359,0.000,0.907,0.000,0.000,0.563,1.919,69.191,107.874,68.210
6.960,0.000,0.000,0.893,0.278,2.064,0.000,1.307,0.828,1.278,0.000,3.323,62.555,99.674,64.266
6.970,0.000,0.000,0.383,1.334,0.029,0.000,0.278,1.675,1.699,0.000,3.959,55.160,87.129,58.163
6.980,0.000,0.826,0.000,0.722,0.000,0.000,0.000,0.791,0.971,0.000,4.001,48.314,72.379,50.709
6.990,22.411,24.414,0.000,0.000,0.000,0.367,0.000,0.000,0.000,0.000,3.571,41.885,57.932,42.872
7.000,55.564,57.358,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.000,2.871,34.887,45.086,35.046
7.010,82.739,84.224,0.000,0.218,0.000,0.000,0.000,0.390,0.000,0.000,2.503,26.581,33.265,26.782
7.020,95.263,96.636,0.000,1.035,0.000,0.000,0.000,2.285,1.596,0.000,3.051,17.479,21.440,17.713
7.030,98.429,99.846,0.000,0.923,0.000,0.000,0.126,3.725,2.217,0.000,4.155,9.396,10.246,8.659
7.040,102.332,103.734,0.000,0.829,0.000,0.084,1.370,3.867,0.732,0.000,4.337,4.227,1.944,1.450
7.050,110.635,112.097,0.000,1.586,0.000,0.227,2.310,2.645,0.000,0.000,2.457,2.405,0.000,0.000
7.060,120.130,121.951,0.000,2.308,0.084,0.000,1.560,0.610,0.000,1.997,0.000,2.509,0.000,0.000
7.070,127.391,129.298,1.175,1.585,1.333,0.000,0.000,0.000,0.000,3.049,0.000,2.591,0.000,0.000
7.080,132.265,133.007,2.196,0.000,2.907,0.000,0.000,0.000,0.277,2.269,0.149,1.931,0.316,0.000
7.090,135.906,134.475,3.564,0.000,3.196,0.000,0.000,0.143,0.000,0.881,2.565,1.202,0.580,0.643
7.100,138.460,135.378,5.424,0.000,2.019,1.129,1.000,2.415,0.000,0.343,2.403,1.023,0.000,0.645
7.110,139.578,136.177,6.772,1.086,0.898,1.930,2.195,3.247,0.000,0.480,0.000,1.005,0.000,0.000
7.120,139.632,136.577,6.485,2.873,0.874,1.040,2.517,2.117,0.376,0.187,0.000,0.458,0.000,0.000
7.130,139.224,136.818,5.189,4.607,1.258,0.060,1.876,0.346,0.517,0.000,0.000,0.000,0.000,0.000
7.140,138.078,137.466,5.062,6.530,0.898,0.000,0.230,0.000,0.000,0.000,0.000,0.000,0.831,0.000
7.150,135.296,137.736,7.413,8.483,0.000,0.000,0.000,0.000,0.000,0.775,0.000,0.000,1.459,0.000
7.160,130.602,135.329,11.367,10.250,0.000,0.000,0.000,0.000,0.000,3.166,0.000,0.146,1.211,0.000
7.170,124.663,129.046,15.305,12.037,0.000,0.000,0.000,0.000,0.000,4.497,0.000,0.066,0.891,0.022
7.180,118.071,120.697,18.615,14.241,0.040,0.000,0.757,0.000,0.169,3.535,0.492,0.000,1.211,1.034
7.190,110.620,112.930,21.438,17.029,0.000,1.190,1.439,0.000,1.033,1.171,1.892,0.000,1.895,1.484
7.200,102.144,105.722,23.497,20.207,0.000,1.926,0.232,0.047,0.492,0.000,1.492,0.000,2.017,0.579
7.210,93.526,96.939,24.298,23.288,0.000,0.869,0.000,0.652,0.451,0.000,0.000,0.000,1.053,0.000
